Date,Close,High,Low,Open,Volume,Returns
2020-01-02,72.33386993408203,72.39407791515757,71.09117632272992,71.34404690340438,135480400,
2020-01-03,71.63065338134766,72.38927264137095,71.40668140593664,71.56322072155912,146322800,-0.009721815705080017
2020-01-06,72.2014389038086,72.23997291016137,70.5035760497976,70.75404341628553,118387200,0.00796845338576202
2020-01-07,71.8618392944336,72.4663224088167,71.64268136784916,72.211041164577,108872000,-0.004703501959669176
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,0.016086186807090952
2020-01-09,74.56877899169922,74.76144156312063,73.74272737606113,73.99318724898775,170108400,0.021240796807553863
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,0.0022609242451232525
2020-01-13,76.33405303955078,76.36054836204123,74.93482072710225,75.05283331884405,121532000,0.021363872128323802
2020-01-14,75.3033218383789,76.48099343710987,75.18050255877637,76.27147084582813,161954400,-0.013502901524668487
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600,-0.004285342168316109
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,0.012526531716976042
2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400,0.011070881639767993
2020-01-21,76.24017333984375,76.8302072165908,76.10289736234121,76.38948797518701,110843200,-0.006776869607653557
2020-01-22,76.51229858398438,77.06379835057774,76.41837061392836,76.72422448512405,101832400,0.003569315653672689
2020-01-23,76.8807601928711,76.96023147582108,76.0185779860032,76.5652710324243,104472000,0.004815717416753351
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,-0.002881735134215191
2020-01-27,74.4050064086914,75.08414667112925,73.42481897034624,74.67232624663728,161940000,-0.02940551814134651
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,0.028289614067821045
2020-01-29,78.11140441894531,78.95672659756295,77.3985441727999,78.13789974528179,216229200,0.020932051827302844
2020-01-30,77.99822998046875,78.05121329496869,76.76517176985938,77.19626294921763,126743200,-0.0014488849524399994
2020-01-31,74.53990936279297,77.71166246110458,74.24609404973549,77.29020649112265,199588400,-0.04433844996920788
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400,-0.002746442076561162
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,0.03301358415692812
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,0.008154360262305094
2020-02-06,78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600,0.011697059080052696
2020-02-07,77.25637817382812,78.0699069624119,76.76632925971391,77.82126159942887,117684000,-0.013592565912552312
2020-02-10,77.6232681274414,77.6232681274414,75.76446618078532,75.84412606929361,109348800,0.004748992410539499
2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200,-0.006032884824680229
2020-02-12,78.98725128173828,78.99207670101356,77.60400616945556,77.60400616945556,113730400,0.02374798733928496
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,-0.00712120920887116
2020-02-14,78.44406127929688,78.69270656111114,77.93711251400148,78.3933612458328,80113600,0.0002460286414696089
