Portfolio,Alpha_Annual,Alpha_pvalue,Mkt-RF,SMB,HML,RMW,CMA,R_squared,Observations
Original_18,10.35990490197609,0.0008014916498916125,0.18034752557937975,0.08417292491634443,-0.2724069581707057,-0.15315949201091697,-0.1803475255793818,35.68495828734294,3255
Optimal_Standard,10.32777655320196,0.00022048384184508203,0.15403420442635937,0.011635027773353679,-0.12646098928736957,-0.10975501140230334,-0.15403420442636068,27.608368493037894,3260
Optimal_Ethical,11.008304740710928,0.00015496334725625548,0.1527023409047273,0.014177780591750943,-0.20057392628739565,0.09251274676999574,-0.15270234090472734,28.771829672542303,3255
