date,original_18_no_rules,original_18_active,original_18_total_wealth,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,spy_benchmark
2010-02-09,98.4012323783981,98.4012323783981,98.4012323783981,93.51200315951837,93.51200315951837,93.51200315951837,100.0,100.0,100.0,94.60869460109032
2010-02-10,98.29888588548512,98.29888588548512,98.29888588548512,93.66233536802223,93.66233536802223,93.66233536802223,100.00464756052898,100.00464756052898,100.00464756052898,94.42339562405037
2010-02-11,99.37657356678375,99.37657356678375,99.37657356678375,95.15116280999591,95.15116280999591,95.15116280999591,100.80256089033303,100.80256089033303,100.80256089033303,95.41167186908594
2010-02-12,99.22681531831049,99.22681531831049,99.22681531831049,95.21936395888955,95.21936395888955,95.21936395888955,100.62300886386973,100.62300886386973,100.62300886386973,95.33225544449925
2010-02-16,100.62416486689945,100.62416486689945,100.62416486689945,96.58321716234488,96.58321716234488,96.58321716234488,101.3912688910527,101.3912688910527,101.3912688910527,96.83228232556982
2010-02-17,100.55205289511959,100.55205289511959,100.55205289511959,96.78208620565661,96.78208620565661,96.78208620565661,101.8875882831931,101.8875882831931,101.8875882831931,97.29110070587166
2010-02-18,100.70567421582412,100.70567421582412,100.70567421582412,96.20101541388134,96.20101541388134,96.20101541388134,101.36199521917435,101.36199521917435,101.36199521917435,97.86466878371634
2010-02-19,100.45353210430983,100.45353210430983,100.45353210430983,96.34503838732378,96.34503838732378,96.34503838732378,101.0595776027666,101.0595776027666,101.0595776027666,98.06762988698765
2010-02-22,100.44898811993359,100.44898811993359,100.44898811993359,96.14401819302029,96.14401819302029,96.14401819302029,101.21284567382357,101.21284567382357,101.21284567382357,98.08527397223203
2010-02-23,99.44077710189431,99.44077710189431,99.44077710189431,95.30950980051352,95.30950980051352,95.30950980051352,100.70973754401622,100.70973754401622,100.70973754401622,96.89407270589908
2010-02-24,100.24417445222122,100.24417445222122,100.24417445222122,96.18382199880058,96.18382199880058,96.18382199880058,101.4968527442445,101.4968527442445,101.4968527442445,97.78524333863618
2010-02-25,99.915117928608,99.915117928608,99.915117928608,96.08004676047523,96.08004676047523,96.08004676047523,101.23533445357093,101.23533445357093,101.23533445357093,97.65289465831634
2010-02-26,100.4255327688886,100.4255327688886,100.4255327688886,96.00573854948514,96.00573854948514,96.00573854948514,101.21462227694724,101.21462227694724,101.21462227694724,97.71464895667168
2010-03-01,101.46362383558188,101.46362383558188,101.46362383558188,97.33930499392139,97.33930499392139,97.33930499392139,102.05185858115648,102.05185858115648,102.05185858115648,98.72941839105427
2010-03-02,101.75108780487226,101.75108780487226,101.75108780487226,97.54154652427717,97.54154652427717,97.54154652427717,101.92198071555012,101.92198071555012,101.92198071555012,99.0029197533292
2010-03-03,101.90293615599641,101.90293615599641,101.90293615599641,97.33588901209876,97.33588901209876,97.33588901209876,101.85541203716686,101.85541203716686,101.85541203716686,99.09118528201851
2010-03-04,102.19863107762733,102.19863107762733,102.19863107762733,97.68756163778606,97.68756163778606,97.68756163778606,101.85735604628069,101.85735604628069,101.85735604628069,99.39117983364045
2010-03-05,103.36719982481733,103.36719982481733,103.36719982481733,98.68772026647437,98.68772026647437,98.68772026647437,102.72362099034974,102.72362099034974,102.72362099034974,100.81180833111128
2010-03-08,103.25687885227897,103.25687885227897,103.25687885227897,98.50753366698028,98.50753366698028,98.50753366698028,102.3499906148184,102.3499906148184,102.3499906148184,100.82945241635568
2010-03-09,103.52206005709458,103.52206005709458,103.52206005709458,98.81309957505597,98.81309957505597,98.81309957505597,102.72424452323449,102.72424452323449,102.72424452323449,100.99711632864472
2010-03-10,104.04639905748749,104.04639905748749,104.04639905748749,98.95920538368033,98.95920538368033,98.95920538368033,102.78224820182933,102.78224820182933,102.78224820182933,101.44713070731133
2010-03-11,104.26523100534357,104.26523100534357,104.26523100534357,98.95425245627973,98.95425245627973,98.95425245627973,102.73531672281244,102.73531672281244,102.73531672281244,101.8706609171244
2010-03-12,104.19561140936946,104.19561140936946,104.19561140936946,99.08763931782714,99.08763931782714,99.08763931782714,102.68775546113054,102.68775546113054,102.68775546113054,101.87949198024006
2010-03-15,103.73486947335644,103.73486947335644,103.73486947335644,99.2838170675029,99.2838170675029,99.2838170675029,102.836621481309,102.836621481309,102.836621481309,101.90594908761317
2010-03-16,104.54795725314862,104.54795725314862,104.54795725314862,100.45534538419436,100.45534538419436,100.45534538419436,103.56755906655266,103.56755906655266,103.56755906655266,102.71774839823098
2010-03-17,105.03912576068109,105.03912576068109,105.03912576068109,101.0352267567822,101.0352267567822,101.0352267567822,103.78403974393255,103.78403974393255,103.78403974393255,103.326577585084
2010-03-18,104.86902573989343,104.86902573989343,104.86902573989343,100.56625420525582,100.56625420525582,100.56625420525582,103.75703617801396,103.75703617801396,103.75703617801396,103.27363630885738
2010-03-19,104.13190551697951,104.13190551697951,104.13190551697951,99.77936272228628,99.77936272228628,99.77936272228628,103.7380565201798,103.7380565201798,103.7380565201798,102.75092577324571
2010-03-22,104.41236815858744,104.41236815858744,104.41236815858744,100.2571676863541,100.2571676863541,100.2571676863541,103.74358196041841,103.74358196041841,103.74358196041841,103.30022872363264
2010-03-23,104.807120940951,104.807120940951,104.807120940951,101.23971260189941,101.23971260189941,101.23971260189941,104.20099696092032,104.20099696092032,104.20099696092032,104.02675730939607
2010-03-24,104.01821687750027,104.01821687750027,104.01821687750027,100.3110239040624,100.3110239040624,100.3110239040624,103.2615528729678,103.2615528729678,103.2615528729678,103.52176302297664
2010-03-25,104.26200489033774,104.26200489033774,104.26200489033774,100.12618429888656,100.12618429888656,100.12618429888656,103.23897716856848,103.23897716856848,103.23897716856848,103.35341355318322
2010-03-26,104.55951585423949,104.55951585423949,104.55951585423949,100.45892981835809,100.45892981835809,100.45892981835809,103.24489150622718,103.24489150622718,103.24489150622718,103.29137059903655
2010-03-29,105.07387873469244,105.07387873469244,105.07387873469244,101.09354540909301,101.09354540909301,101.09354540909301,103.57426636256892,103.57426636256892,103.57426636256892,103.94704320852459
2010-03-30,105.31393450745655,105.31393450745655,105.31393450745655,101.22078781309264,101.22078781309264,101.22078781309264,103.9070536373425,103.9070536373425,103.9070536373425,104.01790820529344
2010-03-31,105.19498085835689,105.19498085835689,105.19498085835689,101.10647006061706,101.10647006061706,101.10647006061706,103.64461346996085,103.64461346996085,103.64461346996085,103.66351105750131
2010-04-01,105.6273218001048,105.6273218001048,105.6273218001048,101.59700192684306,101.59700192684306,101.59700192684306,103.8470253633745,103.8470253633745,103.8470253633745,104.372332414566
