fold,sharpe,return,drawdown,volatility,num_trades,lookback,rebalance_min,rebalance_max,drift,take_profit,train_start,train_end,test_start,test_end
1,1.1924085679958478,0.04804744407792483,-0.06264150536801005,0.1965611184817979,0,485,118,200,0.005,0.15,2010-01-04,2014-11-18,2014-11-19,2015-11-11
2,0.04712511685758173,0.0063233015300177,-0.044356052464887386,0.1250265306976746,0,500,107,120,0.005,0.15,2010-12-23,2015-11-11,2015-11-12,2016-11-02
3,4.242665084083836,0.15912683717728404,-0.025582391099728152,0.11885885147971245,15,448,107,120,0.1,0.15,2011-12-14,2016-11-02,2016-11-03,2017-10-24
4,1.5188264342830313,0.39837579383116917,-0.10320251614547982,0.16055059925934545,41,200,117,120,0.1,0.15,2012-12-05,2017-10-24,2017-10-25,2018-10-16
5,0.9264261679880147,0.09074208483243873,-0.08856713906999303,0.18213443071617064,15,420,120,120,0.1,0.6,2013-11-27,2018-10-16,2018-10-17,2019-10-08
