Metric,Value
Alpha (Daily),0.03674629075030932
Alpha (Annualised),9.700489472827645
Alpha p-value,0.002114123183283378
Alpha Std Error,0.01194541042972392
R-squared,33.84540195235834
Adjusted R-squared,33.764005953530116
F-statistic,415.81161776494014
F-statistic p-value,1.1524239455318472e-289
Observations,3256.0
