kelly_fraction,kelly_fraction_name,total_return,sharpe,max_drawdown,trades,f_star_mean,f_star_positive,f_star_negative,sign_changes,cash_cap
1.0,100% (Full Kelly),1067.684510057738,1.200445521297961,-27.86825590316876,400,1652.016645198059,63,9,4,1.0
0.75,75% (Aggressive),1058.6438334346146,1.1825377315906183,-28.247249259115282,400,1652.016645198059,63,9,4,0.8
0.5,50% (Moderate),1047.478584024532,1.1600327987705745,-28.632515961772974,400,1652.016645198059,63,9,4,0.6000000000000001
0.25,25% (Conservative),1033.828785510635,1.132244799424735,-29.024013511386425,400,1652.016645198059,63,9,4,0.4
0.0,0% (No Kelly - Baseline),1017.3844206852292,1.0987087482127151,-29.421697748574395,400,1652.016645198059,63,9,4,0.2
