Factor,Value,p-value
Alpha (Annual),8.631913602652052,0.005888130700016974
Mkt-RF,0.33366275453183064,1.043811674326616e-146
SMB,0.11186789134950088,7.445301469728324e-10
HML,-0.3020708034930715,2.8387545356989854e-56
RMW,-0.1581520515197079,0.005373918448458128
CMA,0.0,
R²,33.33910629501795,
