date,spy,no_rules,active,total_wealth
2010-01-19,101.52651965731876,100.0,100.0,100.0
2010-01-20,100.49412445806016,98.96024554701282,98.96024554701282,98.96024554701282
2010-01-21,98.56170976552046,97.60594498543271,97.60594498543271,97.60594498543271
2010-01-22,96.36457974298997,95.54179781626887,95.54179781626887,95.54179781626887
2010-01-25,96.85872224203223,95.84827982120852,95.84827982120852,95.84827982120852
2010-01-26,96.45281818632021,95.41408750609958,95.41408750609958,95.41408750609958
2010-01-27,96.91166350393216,95.82516461824846,95.82516461824846,95.82516461824846
2010-01-28,95.79986092206919,95.04770048295299,95.04770048295299,95.04770048295299
2010-01-29,94.75864368257577,93.89798274017096,93.89798274017096,93.89798274017096
2010-02-01,96.23223109848563,94.97226043466881,94.97226043466881,94.97226043466881
2010-02-02,97.3969839627396,95.69959429192299,95.69959429192299,95.69959429192299
2010-02-03,96.91166350393216,95.67889774696765,95.67889774696765,95.67889774696765
2010-02-04,93.92041455290251,93.1848604879888,93.1848604879888,93.1848604879888
2010-02-05,94.11453552003266,93.45537571518149,93.45537571518149,93.45537571518149
2010-02-08,93.4351482170413,92.99786946636428,92.99786946636428,92.99786946636428
2010-02-09,94.60865997809283,93.88864414838142,93.88864414838142,93.88864414838142
2010-02-10,94.4233610511975,93.79099078453734,93.79099078453734,93.79099078453734
2010-02-11,95.41163702879098,94.81925975544635,94.81925975544635,94.81925975544635
2010-02-12,95.33220258471347,94.67637077112816,94.67637077112816,94.67637077112816
2010-02-16,96.83226514181881,96.00962527530426,96.00962527530426,96.00962527530426
2010-02-17,97.2911014389397,95.94084514565674,95.94084514565674,95.94084514565674
2010-02-18,97.86462425911324,96.08740725902663,96.08740725902663,96.08740725902663
2010-02-19,98.06757628696924,95.84681673007947,95.84681673007947,95.84681673007947
2010-02-22,98.08522036743888,95.84249367520788,95.84249367520788,95.84249367520788
2010-02-23,96.8940104029715,94.8805124622673,94.8805124622673,94.8805124622673
2010-02-24,97.78523491749092,95.64706055802233,95.64706055802233,95.64706055802233
2010-02-25,97.65285921151346,95.33309313577975,95.33309313577975,95.33309313577975
2010-02-26,97.71463153413926,95.82010375565731,95.82010375565731,95.82010375565731
2010-03-01,98.72936461194615,96.81059900744235,96.81059900744235,96.81059900744235
2010-03-02,99.00288394118965,97.08486451098297,97.08486451098297,97.08486451098297
2010-03-03,99.09113140501094,97.22975360106534,97.22975360106534,97.22975360106534
2010-03-04,99.39117097790512,97.51190067183121,97.51190067183121,97.51190067183121
2010-03-05,100.81179007044192,98.62687747597933,98.62687747597933,98.62687747597933
2010-03-08,100.82942513042053,98.52160958211593,98.52160958211593,98.52160958211593
2010-03-09,100.99706193586412,98.77463675890178,98.77463675890178,98.77463675890178
2010-03-10,101.44708521324127,99.27493164950108,99.27493164950108,99.27493164950108
2010-03-11,101.87064236991392,99.48371916249744,99.48371916249744,99.48371916249744
2010-03-12,101.87948245113081,99.41729972508574,99.41729972508574,99.41729972508574
2010-03-15,101.90590346938009,98.97768382136157,98.97768382136157,98.97768382136157
2010-03-16,102.71772060129511,99.75348844476447,99.75348844476447,99.75348844476447
2010-03-17,103.32655864388103,100.22212741641528,100.22212741641528,100.22212741641528
2010-03-18,103.27360836149005,100.05983264978012,100.05983264978012,100.05983264978012
2010-03-19,102.7508799263495,99.35650749662753,99.35650749662753,99.35650749662753
2010-03-22,103.30020978956007,99.62411235158227,99.62411235158227,99.62411235158227
2010-03-23,104.02672013773207,100.00075339344512,100.00075339344512,100.00075339344512
2010-03-24,103.52168088551635,99.24804537378151,99.24804537378151,99.24804537378151
2010-03-25,103.35337656373595,99.48063957414048,99.48063957414048,99.48063957414048
2010-03-26,103.291324605888,99.76450465003266,99.76450465003266,99.76450465003266
2010-03-29,103.9469609559772,100.25528829044386,100.25528829044386,100.25528829044386
2010-03-30,104.01786201553311,100.48432421959595,100.48432421959595,100.48432421959595
2010-03-31,103.66349202511917,100.3708287670733,100.3708287670733,100.3708287670733
2010-04-01,104.37229514938429,100.7833334738078,100.7833334738078,100.7833334738078
2010-04-05,105.22284626981498,101.12377787274079,101.12377787274079,101.12377787274079
2010-04-06,105.47090075285921,101.25199430959401,101.25199430959401,101.25199430959401
2010-04-07,104.86845823841897,101.14513328727351,101.14513328727351,101.14513328727351
2010-04-08,105.23170439201395,101.54970845057694,101.54970845057694,101.54970845057694
2010-04-09,105.92279127188111,102.03843742268647,102.03843742268647,102.03843742268647
2010-04-12,106.09115873709878,102.2703486419941,102.2703486419941,102.2703486419941
2010-04-13,106.1709088983626,102.58638956199304,102.58638956199304,102.58638956199304
2010-04-14,107.3758751116624,103.5335040220113,103.5335040220113,103.5335040220113
2010-04-15,107.46444731316105,103.82882851579927,103.82882851579927,103.82882851579927
2010-04-16,105.75444184764552,101.89768394511916,101.89768394511916,101.89768394511916
2010-04-19,106.1531746129826,101.90985454159346,101.90985454159346,101.90985454159346
2010-04-20,107.10117409809297,102.44603806492744,102.44603806492744,102.44603806492744
2010-04-21,106.90626834824255,102.69728240925227,102.69728240925227,102.69728240925227
2010-04-22,107.22525095231579,102.78213308698302,102.78213308698302,102.78213308698302
