fold,sharpe,return,drawdown,volatility,num_trades,lookback,rebalance_min,rebalance_max,drift,take_profit,train_start,train_end,test_start,test_end
1,0.11560437172137851,0.054093281772641166,-0.13405019351200398,0.13648329235735565,41,300,60,120,0.06,0.15,2010-01-04,2015-01-05,2015-01-06,2016-01-05
2,0.4491267453128743,0.16310464451001172,-0.2751980281874049,0.19279055474546697,61,217,60,60,0.01,0.15,2011-01-03,2016-01-05,2016-01-06,2017-01-04
3,3.4603637988745595,0.33694173912768566,-0.03086606509812362,0.09001790956052073,49,285,60,60,0.06,0.15,2012-01-03,2017-01-04,2017-01-05,2018-01-04
4,-0.6096621138352495,-0.11722893259234657,-0.29123772456671926,0.27200392761344677,41,281,60,60,0.06,0.15,2013-01-04,2018-01-04,2018-01-05,2019-01-07
5,3.3336413996577345,0.2748246786257724,-0.03224268884687087,0.07884100477318536,37,295,60,120,0.06,0.15,2014-01-06,2019-01-07,2019-01-08,2020-01-07
